playerID,inducted,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
campbbi02,N,83,68,2,1,126,1139,484,82,495,864,0.2566,3.91733333333333,47,20,6,550,88,41,84,4
cansejo01,N,0,0,0,0,0,2,3,0,3,0,0.5,27,0,0,0,3,0,1,0,11
carltst01,Y,329,244,254,55,2,4672,1864,414,1833,4136,0.254555555555556,3.9862962962963,183,53,90,2130,203,103,287,17
carpech01,N,144,94,33,15,0,2205,927,220,627,1697,0.271533333333333,4.04866666666667,51,85,3,1021,75,48,223,3
carrocl02,N,96,73,1,0,143,1296,442,67,442,681,0.252235294117647,3.09352941176471,41,37,5,506,56,24,54,1
chandsp01,N,109,43,109,26,6,1327,468,64,463,614,0.25,3.20272727272727,20,19,5,549,0,0,0,7
chaseha01,N,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9
clarkjo01,Y,328,178,485,37,5,4295,1417,159,1191,1978,,3.02307692307692,182,80,0,2384,0,0,0,1
clemero02,N,354,184,118,46,0,4185,1707,363,1580,4672,0.230833333333333,3.22083333333333,143,159,20,1885,119,103,329,22
cobbty01,Y,0,0,0,0,1,6,2,0,2,0,0.2,2.25,0,0,0,2,0,0,0,31
colavro01,N,1,0,0,0,0,1,0,0,5,2,0.055,0,0,0,1,0,0,0,0,1
conceda01,N,0,0,0,0,0,2,0,0,0,1,0.333,0,0,0,0,0,0,0,0,11
coneda01,N,194,126,56,22,1,2504,1115,258,1137,2668,0.237210526315789,3.72842105263158,149,106,32,1222,76,82,138,3
coombja01,N,158,110,187,35,8,2034,717,38,841,1052,0.26,3.49142857142857,54,88,1,925,0,0,0,3
coopemo01,N,128,75,128,33,14,1666,607,85,571,913,0.298461538461538,3.29416666666667,28,28,7,703,0,0,0,11
coopewi01,N,216,178,279,35,14,3415,1119,103,853,1252,0.26875,3.435,44,100,0,1406,0,0,0,5
covelst01,Y,215,142,224,38,21,3055,990,66,802,981,0.259285714285714,3.13571428571429,35,30,1,1237,0,0,0,3
cramedo01,N,0,0,0,0,0,3,2,0,3,1,0.21,4.5,0,0,0,2,0,0,0,2
crowdal01,N,167,115,150,16,22,2453,1072,136,800,799,0.271428571428571,4.585,20,16,3,1204,0,0,0,5
cuellmi01,N,185,130,172,36,11,2538,979,222,822,1632,0.270133333333333,5.146,53,12,6,1130,94,45,91,3
darkal01,N,0,0,0,0,0,1,2,1,1,0,0.25,18,0,0,0,2,0,0,0,4
darliro01,N,136,116,37,13,0,2244,1016,239,906,1590,0.258733333333333,4.186,97,59,24,1139,95,73,166,1
davalvi01,N,0,0,0,0,0,2,1,0,2,0,1,,0,0,0,1,0,0,0,1
daviscu01,N,158,131,141,24,33,2459,884,142,479,684,0.276666666666667,4.25,20,47,2,1033,0,0,0,2
davisma01,N,51,84,4,2,96,1068,530,129,534,1007,0.255722222222222,4.67888888888889,63,28,12,582,60,44,90,5
deandi01,Y,150,83,154,26,30,1919,661,95,453,1163,0.2525,3.93666666666667,12,27,5,774,0,0,0,14
dempsri01,N,0,0,0,0,0,3,1,0,1,0,0.333,4.5,0,0,0,1,0,0,0,2
dennyjo01,N,123,108,62,18,0,2093,856,137,778,1146,0.256857142857143,3.445,68,54,12,967,82,46,250,3
derripa01,N,223,212,251,32,29,3912,1401,158,761,1507,0.27375,3.53125,50,32,2,1652,0,0,0,9
donlimi01,N,0,1,0,0,0,16,13,1,14,6,,3.815,0,1,0,15,0,0,0,3
donovbi01,N,185,139,289,35,8,2631,886,30,1059,1552,0.226,2.82722222222222,69,90,0,1212,0,0,0,1
drabedo01,N,155,134,53,21,0,2448,1052,246,704,1594,0.257307692307692,3.95846153846154,80,53,6,1141,97,69,177,3
drysddo01,Y,209,166,167,49,6,3084,1124,280,855,2486,0.24,3.04714285714286,82,154,10,1292,0,0,0,4
dykesji01,N,0,0,0,0,1,2,1,0,1,0,0.33,4.5,0,0,0,1,0,0,0,1
earnsge01,N,127,93,115,18,12,1981,933,142,809,1002,0.277272727272727,5.02818181818182,55,25,2,1063,0,0,0,6
eckerde01,Y,197,171,100,20,390,3076,1278,347,738,2401,0.24252,3.4704,28,75,16,1382,109,93,146,9
ehmkeho01,N,166,166,199,20,14,2873,1174,103,1042,1030,0.881875,4.305625,28,137,8,1425,0,0,0,1
faberre01,Y,254,213,273,29,28,4106,1430,111,1213,1471,0.264,3.225,52,103,2,1813,0,0,0,2
facero01,N,104,95,6,0,193,1347,531,141,362,877,0.268235294117647,3.15823529411765,32,14,2,591,0,0,0,1
falkecy01,N,130,123,180,27,8,2090,678,23,690,1164,5.12833333333333,2.85,93,69,0,960,0,0,0,1
fellebo01,Y,266,162,279,44,21,3271,1384,224,1764,2581,0.229444444444444,3.38222222222222,75,60,13,1557,0,0,0,18
ferrewe01,N,193,128,227,17,13,2845,1177,132,1040,985,0.291764705882353,5.95529411764706,35,23,6,1382,0,0,0,10
fingero01,Y,114,118,4,2,341,1474,549,123,492,1299,0.254058823529412,4.31470588235294,40,39,7,615,78,64,75,11
finlech01,N,200,173,63,15,0,3069,1366,304,1332,2610,0.255444444444444,3.92833333333333,130,76,22,1517,104,85,305,2
finlest01,N,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5
fisheed02,N,85,70,7,2,81,1398,583,149,438,812,0.241722222222222,3.57722222222222,53,27,1,659,15,14,9,1
fitzsfr01,N,217,146,186,29,13,3335,1257,186,846,870,0.2705,4.1565,58,33,3,1505,0,0,0,1
flanami01,N,167,143,101,19,4,2806,1199,251,890,1491,0.270263157894737,4.06894736842105,84,41,12,1301,110,76,301,3
fonsele01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fordwh01,Y,236,106,156,45,10,2766,967,228,1086,1956,0.23125,2.6725,75,28,5,1107,0,0,0,10
forscbo01,N,168,136,67,19,3,2777,1169,216,832,1133,0.268058823529412,4.03176470588235,93,45,18,1319,106,101,270,2
foxxji01,Y,1,0,0,0,0,13,4,0,14,11,0.085,0.795,0,1,0,4,0,0,0,22
francjo01,N,90,87,0,0,424,1166,400,81,495,975,0.253952380952381,3.13380952380952,54,22,9,466,82,31,116,6
gaettga01,N,0,0,0,0,0,5,2,1,1,1,0.433333333333333,6,0,1,0,2,0,0,0,6
gagneer01,N,33,26,0,0,187,518,248,76,226,718,0.197636363636364,3.12818181818182,18,33,1,268,24,15,32,6
gibsobo01,Y,251,174,255,56,6,3279,1258,257,1336,3117,0.231941176470588,3.14588235294118,108,102,13,1420,62,43,46,19
giustda01,N,100,93,35,9,145,1654,687,126,570,1103,0.2526875,3.63625,87,15,7,764,47,23,27,1
glavito02,Y,305,203,56,25,0,4298,1734,356,1500,2607,0.259772727272727,3.70636363636364,65,66,7,1900,228,113,420,14
gomezle01,Y,189,102,173,28,9,2290,930,138,1095,1468,0.246428571428571,3.92857142857143,39,19,0,1091,0,0,0,11
goodedw01,N,194,112,68,24,3,2564,1091,210,954,2293,0.257944444444444,4.225,76,78,33,1198,84,68,197,6
gordoto01,N,138,126,18,4,158,1889,927,176,977,1928,0.244318181818182,4.72272727272727,112,38,5,1016,58,69,163,2
gossari01,Y,124,107,16,0,310,1497,605,119,732,1502,0.233304347826087,3.2,63,47,5,670,106,67,124,3
gracema01,N,0,0,0,0,0,1,1,1,0,0,0.25,9,0,0,0,1,0,0,0,4
grantmu01,N,145,119,89,18,53,2292,985,292,849,1267,0.247333333333333,3.60555555555556,60,33,3,1105,15,2,0,2
grimebu01,Y,270,212,314,35,18,4412,1638,148,1295,1512,0.269130434782609,3.95304347826087,92,97,12,2048,0,0,0,11
gromest01,N,123,108,92,17,23,1940,782,186,630,904,0.255,3.955,18,68,3,893,0,0,0,1
grovele01,N,300,141,298,35,55,3849,1339,162,1187,2266,0.253529411764706,3.26411764705882,51,42,1,1594,0,0,0,26
