playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,award_count
jonesan01,N,1204,1933,383,36,434,1289,152,59,891,1748,69,6,71,192,0.254375575733649,4986,125,50,35,15
jonesch06,Y,1619,2726,549,38,468,1623,150,46,1512,1409,177,3,97,253,0.303428317008014,1771,3581,243,308,6
jonescl01,N,565,1196,183,33,93,524,91,48,360,702,42,26,41,108,0.280553600750645,2280,83,51,22,1
jonesdo01,N,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0.142857142857143,60,152,21,14,1
jonesra01,N,37,79,8,0,0,20,1,1,22,235,0,66,2,3,0.131886477462437,114,465,18,30,4
jonesto02,N,1,4,1,0,0,0,0,0,1,6,0,0,0,1,0.210526315789474,70,112,8,6,2
jorgemi01,N,429,833,132,13,95,426,58,44,532,589,51,31,25,64,0.243496053785443,6983,546,54,602,1
jossad01,Y,46,118,21,6,1,51,10,0,54,297,0,39,0,0,0.144430844553244,185,848,36,24,1
judgejo01,N,1184,2352,433,159,71,1034,213,92,965,478,0,257,0,3,0.297796910610281,19265,1301,142,1500,1
jurgebi01,N,721,1613,245,55,43,656,36,0,568,530,0,141,0,195,0.257956181033104,3369,5446,333,982,1
justida01,N,929,1571,280,24,305,1017,53,46,903,999,85,1,54,101,0.279288888888889,2684,110,62,55,6
kaatji01,N,117,232,44,5,16,106,5,1,63,367,1,34,7,14,0.185451638689049,262,744,56,65,19
kalinal01,Y,1622,3007,498,75,399,1583,137,65,1277,1020,131,45,104,271,0.297251878212732,5938,235,82,126,20
kammwi01,N,802,1643,348,85,29,826,126,84,824,405,0,238,0,0,0.280806699709451,2151,3345,185,299,4
karroer01,N,797,1724,324,11,284,1027,59,30,552,1167,21,0,76,181,0.267660301195467,14056,1359,111,1257,3
keefeti01,Y,248,390,60,38,12,134,13,0,175,411,0,0,0,0,0.187229956793087,297,1079,174,31,1
kellech01,N,725,1085,166,72,189,760,45,23,784,499,0,20,0,50,0.286279683377309,2235,46,46,6,3
kellge01,Y,881,2054,385,50,78,870,51,36,621,287,7,149,20,188,0.30647567890182,2390,3326,168,360,13
kellyge01,Y,819,1778,337,76,148,1020,65,43,386,694,0,158,0,0,0.296679459369264,14690,1376,152,1197,5
keltnke01,N,737,1570,308,69,163,852,39,33,514,480,0,102,0,144,0.276262537392222,1577,3070,171,306,3
kennete02,N,474,1313,244,12,113,628,6,15,365,855,86,22,39,125,0.263707571801567,6754,638,108,103,1
kentje01,N,1320,2461,560,47,377,1518,94,60,801,1522,61,10,103,224,0.289597552365262,4816,5918,236,1362,8
kessido01,N,899,1931,254,80,14,527,100,85,684,759,69,132,40,132,0.25238530910992,3292,6453,350,1215,6
