playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG
adamsge01,1879,1,4,13,0,3,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078
adamsgl01,15828,8,661,1617,152,452,79,5,34,225.0,6.0,10.0,111,183.0,8.0,4.0,9.0,19.0,47.0,0.2795299938157081
adamshe01,5847,3,95,337,39,88,8,6,0,18.0,4.0,2.0,22,24.0,0.0,2.0,3.0,0.0,5.0,0.26112759643916916
adamsji01,1890,1,1,4,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
adamsjo01,1902,1,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsjo02,5991,3,44,10,0,3,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.3
adamska01,3829,2,30,32,0,1,0,0,0,0.0,0.0,0.0,0,16.0,0.0,0.0,1.0,0.0,0.0,0.03125
adamsla01,6049,3,117,137,30,36,5,1,7,26.0,11.0,0.0,14,47.0,0.0,1.0,1.0,1.0,4.0,0.26277372262773724
adamsma01,20159,12,818,2336,290,609,127,6,116,388.0,4.0,4.0,159,616.0,16.0,12.0,0.0,16.0,45.0,0.2607020547945205
adamsmi01,5904,3,11,6,1,2,0,1,0,1.0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333
adamsmi02,9876,5,100,118,27,23,5,0,3,9.0,2.0,1.0,32,29.0,0.0,2.0,0.0,0.0,2.0,0.19491525423728814
adamsmi03,22103,12,410,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsre01,1946,1,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsri01,1905,1,11,23,1,4,0,0,0,0.0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086
adamsri02,5950,3,120,247,35,53,5,1,4,16.0,3.0,2.0,10,37.0,3.0,5.0,7.0,0.0,5.0,0.2145748987854251
adamsru01,10031,5,286,884,125,218,46,7,17,113.0,15.0,5.0,85,118.0,2.0,5.0,8.0,11.0,14.0,0.24660633484162897
adamsry01,2011,1,29,89,9,25,4,0,0,7.0,0.0,0.0,6,25.0,0.0,1.0,0.0,0.0,7.0,0.2808988764044944
adamssp01,26997,15,1424,5557,844,1588,249,48,9,394.0,154.0,50.0,453,223.0,0.0,28.0,136.0,0.0,14.0,0.2857657009177614
adamssp02,7701,4,180,395,61,101,16,5,0,38.0,5.0,10.0,38,50.0,0.0,2.0,12.0,0.0,0.0,0.25569620253164554
adamste01,24004,13,574,78,2,4,1,0,0,2.0,0.0,0.0,7,41.0,0.0,0.0,12.0,1.0,1.0,0.05128205128205128
adamswi01,9576,5,65,88,4,9,1,1,0,2.0,0.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0,0.10227272727272728
adamswi02,3993,2,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
adcocjo01,33286,17,1959,6606,823,1832,295,35,336,1122.0,20.0,25.0,594,1059.0,55.0,17.0,52.0,35.0,223.0,0.2773236451710566
adcocna01,8052,4,56,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
addisbo01,9759,6,208,534,70,150,22,2,2,47.0,8.0,6.0,37,47.0,0.0,0.0,5.0,0.0,9.0,0.2808988764044944
adducji01,7946,4,70,144,11,34,8,1,1,15.0,0.0,1.0,2,27.0,0.0,0.0,1.0,3.0,1.0,0.2361111111111111
