playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
wallabo01,Y,1057,2309,391,143,34,1121,201,2,774,496,0,173,0,0,0.267927593409144,4918,7465,814,722,24,22,37,3,1,469,173,6,156,120,,3.155,16,13,0,268,0,0,0,2
wallati01,N,908,2085,432,36,260,1125,51,66,649,1307,89,6,77,192,0.25743919002346,2543,4065,247,373,0,0,0,0,0,3,1,0,0,0,0.4165,4.5,0,0,1,1,0,0,2,7
walshed01,Y,93,210,38,10,3,68,14,0,46,212,0,30,0,0,0.193014705882353,237,1208,57,32,195,126,250,57,35,2346,598,23,617,1736,0.242857142857143,2.11785714285714,84,53,14,873,0,0,0,8
waltebu01,N,227,477,99,16,23,234,12,1,114,303,0,64,0,34,0.242624618514751,364,1135,63,119,198,160,242,42,4,2990,1139,154,1121,1107,0.260588235294118,3.51235294117647,63,51,6,1343,0,0,0,11
warnelo01,N,87,215,26,2,4,97,1,0,52,148,0,62,0,31,0.223492723492724,126,538,8,31,192,121,192,30,13,2726,984,175,739,1140,0.258125,5.138125,50,27,1,1164,0,0,0,9
welchbo01,N,26,88,7,1,2,30,0,1,22,171,0,59,2,4,0.151202749140893,243,394,26,30,211,146,61,28,8,2894,1191,267,1034,1969,0.250941176470588,3.59647058823529,55,79,45,1310,122,83,209,3
wellsda01,N,8,23,2,0,0,5,0,0,3,59,0,18,0,1,0.129213483146067,149,451,30,25,239,157,54,12,13,3635,1578,407,719,2201,0.274458333333333,4.14541666666667,101,83,17,1702,106,84,266,3
wettejo01,N,4,7,2,0,1,8,0,0,0,19,0,9,0,0,0.166666666666667,27,60,12,2,48,45,0,0,330,616,249,73,252,804,0.2155,2.77583333333333,40,16,1,287,30,26,38,3
whiteea01,N,107,264,23,7,4,98,3,0,97,216,0,57,0,1,0.204492641363284,166,701,47,31,218,185,226,16,11,3917,1726,192,1431,1350,0.273529411764706,4.38764705882353,43,101,6,2018,0,0,0,2
willite01,Y,1798,2654,525,71,521,1839,24,17,2021,709,86,5,20,197,0.344406955618998,4158,142,113,30,0,0,0,0,0,3,1,0,0,1,0.33,4.5,0,0,0,1,0,0,0,39
willivi01,Y,107,248,19,4,1,84,3,0,81,199,0,41,0,0,0.166108506363027,389,1131,72,30,249,205,388,50,11,3621,1167,66,1212,1651,,2.68153846153846,94,156,6,1620,0,0,0,1
woodjo02,N,266,553,118,31,23,325,23,3,208,216,0,96,0,0,0.283299180327869,911,518,56,30,117,57,121,28,11,1138,324,10,421,989,0.2275,3.86636363636364,43,49,0,497,0,0,0,3
woodke02,N,23,59,6,0,7,32,0,0,11,114,0,46,1,1,0.170520231213873,73,123,9,13,86,75,11,5,63,1083,563,148,666,1582,0.223066666666667,3.99866666666667,64,99,6,599,54,43,83,1
woodwi01,N,11,27,2,0,0,13,1,0,20,189,0,38,0,7,0.0838509316770186,84,523,14,26,164,156,114,24,57,2582,965,209,724,1411,0.260611111111111,4.18,72,63,6,1130,105,53,114,3
worreto01,N,1,2,0,1,0,0,0,0,1,20,0,2,0,1,0.0740740740740741,30,82,4,9,50,52,0,0,256,608,238,65,247,628,0.236818181818182,3.30818181818182,23,7,7,264,29,28,42,3
wyattwh01,N,53,133,26,2,7,69,0,0,26,111,0,34,0,20,0.219110378912685,74,316,18,15,106,95,97,17,13,1684,741,98,642,872,0.268823529411765,4.54058823529412,24,33,2,860,0,0,0,5
wynnea01,Y,136,365,59,5,17,173,1,0,141,330,0,52,4,33,0.214201877934272,193,670,29,47,300,244,290,49,15,4291,1796,338,1775,2334,0.247826086956522,3.57086956521739,51,64,2,2037,0,0,0,4
youngcy01,Y,325,623,87,35,18,290,29,0,81,381,0,50,0,0,0.210472972972973,251,2015,148,41,511,315,749,76,18,7092,2147,138,1217,2803,0.275,2.71304347826087,156,161,3,3167,0,0,0,3
zachrpa01,N,9,36,0,0,0,6,0,0,14,128,0,33,2,11,0.113207547169811,60,176,13,19,69,67,29,7,3,1147,461,88,495,669,0.264545454545455,3.65636363636364,19,21,10,529,57,43,79,1
zahnge01,N,3,6,0,0,0,1,0,0,0,9,0,10,0,1,0.13953488372093,87,326,24,19,111,109,79,20,1,1978,769,149,526,705,0.272357142857143,4.44928571428571,32,19,4,889,81,56,249,1
zambrca01,N,75,165,26,3,24,71,1,0,10,240,0,37,4,14,0.238095238095238,168,290,25,29,132,91,10,5,0,1709,797,161,898,1637,0.247333333333333,4.64333333333333,58,102,5,879,100,44,174,3
