playerID,yearID,stint,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
dolsifr01,4017,2,48,0.0,175.0,1,4,1.0,0,0.0,0.0,0.0,0.0,0.0
dominan01,6013,3,7,2.0,81.0,30,1,1.0,2,0.0,0.0,2.0,0.0,0.0
dominch01,8058,4,11,8.0,213.0,25,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dominjo01,8058,4,52,0.0,168.0,3,11,0.0,2,0.0,0.0,0.0,0.0,0.0
dominju01,6012,3,32,17.0,329.0,4,7,0.0,0,0.0,0.0,0.0,0.0,0.0
dominma01,12082,6,353,339.0,9035.0,241,685,30.0,61,0.0,0.0,0.0,0.0,0.0
dominse01,4037,2,80,0.0,248.0,7,12,1.0,0,0.0,0.0,0.0,0.0,0.0
donahde01,3887,2,8,0.0,0.0,0,4,0.0,1,0.0,0.0,0.0,0.0,0.0
donahji01,32099,17,351,0.0,8793.0,1258,462,193.0,32,173.0,0.0,191.0,98.0,0.0
donahji02,28556,18,792,719.0,20805.0,8312,610,125.0,338,17.0,0.0,57.0,44.0,0.0
donahjo01,1923,1,9,0.0,0.0,21,4,0.0,1,0.0,0.0,0.0,0.0,0.0
donahpa01,15275,16,111,93.0,2880.0,472,134,13.0,8,14.0,0.0,135.0,89.0,0.0
donahre01,34198,19,372,78.0,9042.0,137,904,53.0,22,0.0,0.0,0.0,0.0,0.0
donahsh01,11424,10,62,57.0,1449.0,114,116,38.0,11,0.0,0.0,0.0,0.0,0.0
donahti01,22771,12,466,0.0,11739.0,1693,448,132.0,52,71.0,0.0,645.0,428.0,0.0
donalat01,15532,8,153,0.0,0.0,29,133,11.0,9,0.0,0.0,0.0,0.0,0.0
donaled01,1912,1,1,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
donalja01,18101,9,164,149.0,4005.0,209,404,23.0,78,0.0,0.0,0.0,0.0,0.0
donaljo01,29538,18,347,314.0,8487.0,664,840,36.0,162,0.0,0.0,0.0,0.0,0.0
donaljo02,34247,18,973,958.0,25413.0,836,1829,118.0,199,1.0,0.0,8.0,4.0,0.0
dondele01,3858,2,15,0.0,0.0,8,10,2.0,1,0.0,0.0,0.0,0.0,0.0
donlimi01,43781,25,970,423.0,22107.0,2416,165,176.0,60,0.0,0.0,0.0,0.0,0.0
donnebl01,17526,10,190,0.0,0.0,15,99,8.0,2,0.0,0.0,0.0,0.0,0.0
donnebr01,18054,9,386,0.0,1156.0,19,22,4.0,0,0.0,0.0,0.0,0.0,0.0
donnech01,47909,27,254,168.0,4660.0,519,280,25.0,66,0.0,0.0,0.0,0.0,0.0
donneed01,3823,2,42,0.0,0.0,10,60,5.0,1,0.0,0.0,0.0,0.0,0.0
donneed02,1959,1,9,0.0,43.0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0
donnefr01,3787,2,8,0.0,141.0,7,10,4.0,0,0.0,0.0,0.0,0.0,0.0
donneji01,32115,18,654,0.0,16560.0,776,1342,336.0,84,0.0,0.0,0.0,0.0,0.0
donneji02,3768,2,6,0.0,168.0,13,8,15.0,0,3.0,0.0,0.0,0.0,0.0
donnejo01,13114,7,38,5.0,888.0,69,79,39.0,5,0.0,0.0,0.0,0.0,0.0
donnepe01,3742,2,11,8.0,180.0,6,1,10.0,0,0.0,0.0,0.0,0.0,0.0
donohji01,7846,6,70,9.0,466.0,8,18,1.0,1,0.0,0.0,0.0,0.0,0.0
donohjo01,3782,2,6,0.0,153.0,14,2,2.0,0,0.0,0.0,0.0,0.0,0.0
donohpe01,26979,16,344,0.0,0.0,71,499,29.0,23,0.0,0.0,0.0,0.0,0.0
donohto01,3959,2,122,100.0,2700.0,466,45,8.0,9,8.0,0.0,91.0,37.0,0.0
donosli01,3911,2,28,9.0,290.0,6,19,2.0,1,0.0,0.0,0.0,0.0,0.0
donovbi01,66687,35,444,207.0,9645.0,385,684,65.0,29,0.0,0.0,0.0,0.0,0.0
donovbi02,3885,2,38,0.0,0.0,5,41,2.0,0,0.0,0.0,0.0,0.0,0.0
donovdi01,29367,15,345,266.0,5883.0,144,336,20.0,25,0.0,0.0,0.0,0.0,0.0
donovfr01,1895,1,3,0.0,87.0,13,2,1.0,1,5.0,0.0,5.0,2.0,0.0
donovje01,5718,3,55,46.0,1254.0,222,52,13.0,4,4.0,0.0,62.0,37.0,0.0
donovmi01,3812,2,6,5.0,129.0,13,9,0.0,0,0.0,0.0,0.0,0.0,0.0
donovpa01,37941,23,1816,126.0,47043.0,2929,265,201.0,69,0.0,0.0,0.0,0.0,0.0
donovto01,3802,2,19,0.0,408.0,21,6,4.0,0,0.0,0.0,0.0,0.0,0.0
dooinre01,51513,28,1219,758.0,23469.0,5535,1597,322.0,123,139.0,0.0,1032.0,890.0,0.0
doolami01,32504,20,1721,857.0,22695.0,3818,5585,589.0,674,0.0,0.0,0.0,0.0,0.0
doolise01,18141,10,390,0.0,1164.0,7,26,2.0,2,0.0,0.0,0.0,0.0,0.0
doomsha01,1892,1,1,0.0,24.0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0
dopsojo01,15922,8,144,119.0,2176.0,70,107,4.0,3,0.0,0.0,0.0,0.0,0.0
doranbi01,1922,1,2,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
doranbi02,39768,22,1418,1337.0,35231.0,2814,3687,113.0,759,0.0,0.0,0.0,0.0,0.0
doranjo01,1891,1,15,0.0,378.0,4,29,6.0,1,0.0,0.0,0.0,0.0,0.0
doranto01,7620,5,46,39.0,996.0,167,40,11.0,1,4.0,0.0,52.0,30.0,0.0
dorgaje01,16943,10,135,0.0,3477.0,312,60,60.0,4,62.0,0.0,0.0,0.0,0.0
dorgami01,65855,38,731,0.0,19317.0,1627,233,259.0,48,26.0,0.0,0.0,0.0,0.0
dorisha01,25377,15,324,7.0,702.0,56,168,6.0,9,0.0,0.0,0.0,0.0,0.0
dormach01,1923,1,1,0.0,0.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
dormare01,1928,1,24,0.0,0.0,53,1,5.0,1,0.0,0.0,0.0,0.0,0.0
dornda01,4030,2,5,3.0,99.0,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dornegu01,13341,8,131,93.0,2730.0,48,268,17.0,10,0.0,0.0,0.0,0.0,0.0
dorrbe01,1882,1,8,0.0,198.0,5,22,2.0,0,0.0,0.0,0.0,0.0,0.0
dorsebr01,19915,10,140,101.0,2791.0,706,51,4.0,10,14.0,0.0,55.0,30.0,0.0
dorseca01,5828,3,8,0.0,0.0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0
dorseje01,3768,2,2,0.0,18.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
dorseje02,1911,1,1,0.0,0.0,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dorseji01,5949,3,8,5.0,71.0,1,3,1.0,0,0.0,0.0,0.0,0.0,0.0
dortame01,4012,2,6,2.0,99.0,1,12,1.0,0,0.0,0.0,0.0,0.0,0.0
doschhe01,16905,10,109,6.0,2901.0,138,210,86.0,12,0.0,0.0,0.0,0.0,0.0
doschja01,11429,7,27,12.0,435.0,5,30,5.0,0,0.0,0.0,0.0,0.0,0.0
dosteda01,9989,5,113,31.0,1378.0,130,145,4.0,37,0.0,0.0,0.0,0.0,0.0
doteloc01,40132,26,758,34.0,2853.0,43,77,10.0,5,0.0,0.0,0.0,0.0,0.0
dotsori01,25803,14,305,295.0,5572.0,116,269,11.0,25,0.0,0.0,0.0,0.0,0.0
